f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,class
0.200001,1,0.000223,0.000992,0,0,0,0.285715,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.666666,0.571429,1
0.600001,0,0.007321,0.006944,0.777776,0,0,0.142857,1,0,0,0,1,0,0,0,0.249999,0,0,0,0.02,1,0,0,0,0,0,0,2
0.800001,0,0.034863,0.044643,0.888888,0,0,0.142857,1,0,0,0,1,0,0,0,0,0,0,0,0.02,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0.714286,1,1,1,1,1,0,1,0.285715,0,0.499999,1,0.25,0,0,0,1,1,0,0.666666,0.285714,1
1,0.333333,0,0,0,0,0,0.571429,1,0,1,1,1,0,0,0.285715,0,0.499999,1,0.25,0.18,0,0,0,0,0,0.666666,0.285714,1
0.800001,0,0.00375,0.000992,0.777776,0.2,0.214286,0.428572,1,1,0,0,1,1,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0.714285,2
0.600001,0,0.010535,0.012897,1,0,0.428571,0.571429,1,0,0,1,1,1,0,0.428572,0.249999,0,0,0,0,0,0,0,1,0,0.833331,0,5
0.400001,1,0.010937,0.055555,0,0,0,0.285715,1,0,1,0,1,0,0,0,0,0.499999,1,0,0,0,0,0,0,0,0.666666,0,1
0.200001,0.666667,0.007946,0.002976,0.11111,0,0.642857,0.285715,0,0,1,1,1,0,0,0.571429,0,0,0,0.25,0.02,0,0,0,0,0,0.666666,0.571429,0
0,1,0,0,0,0,0,0.714286,1,1,1,1,1,0,0,0.571429,0,0,0,0,0,0,0,1,1,1,0.666666,0.571429,1
0,1,0.417954,0.229166,0,0,0.928572,0.285715,1,0,1,0,1,0,0,0.571429,0,0,0,0.25,1,0,0,0,0,0,0.333333,0,1
0.800001,0,1,0.271825,0.444443,0,0,0.142857,1,0,0,1,0,0,0,0,0,0,0,0,0.02,0,0,1,0,0,0,0,6
1,0.333333,0.00067,0,0.555554,0,0,0.428572,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.833331,0.142857,1
0.400001,0,0,0,0.555554,0.4,0,0.428572,1,0,0,1,1,1,0,0.428572,0,0,0,0,0,0,0,1,0,0,0.499999,0.571429,0
0.200001,1,0.040711,0.014881,0.11111,0,0.214286,0.857143,1,1,1,1,1,1,1,0,0,0,0,0,0.14,0,0,1,1,0,0.499999,0,0
0.800001,0,0.014865,0.059524,1,0,0,0.142857,1,0,0,1,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,6
1,0.666667,0.000134,0,0,0,0,0.285715,1,0,1,0,1,0,0,0,0,0,0,0.25,0.1,0,0,0,0,0,0.333333,0,1
0.400001,0,0.011428,0.021825,0.555554,0,0.214286,0.428572,1,0,1,1,1,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.333333,0,6
0.600001,0.333333,0.040398,0.027778,1,0,0,0.428572,1,1,0,1,0,0,1,0.142857,0.249999,0,0,0,0,0,0,1,1,0,0.166666,0.142857,5
0.600001,0.333333,0.033613,0.005952,1,0.6,0,0.428572,1,1,0,0,0,1,1,0.142857,0,0,0,0,0,0,0,0,1,0,0.166666,1,5
0.600001,0.333333,0.017454,0.007937,1,0,0.500001,0.571429,1,1,0,1,1,1,0,0.142857,0,0,0,0,0.02,0,1,1,1,0,0.166666,0.142857,5
